adult,genre_ids,id,origin_country,original_language,original_name,overview,popularity,first_air_date,softcore,name,vote_average,vote_count,genre_names
False,"18, 35",18495,['KR'],ko,논스톱,"Nonstop is a South Korean slice-of-life sitcom that broadcast its first season in 2000 on MBC. It continued with 5 more seasons. The series was popular for its cast of teen idols, many who debuted through the show..",124.1732,2000-05-15,False,Nonstop,5.333,6,"Drama, Comedy"
False,"18, 35",291496,['KR'],ko,이런 엿같은 사랑,An ambitious prosecutor loses her memory and moves in with a boxing coach who claims to be her boyfriend. Can this sticky situation turn into real love?,53.8042,2026-08-07,False,Our Sticky Love,8.632,87,"Drama, Comedy"
False,"80, 18, 9648",290193,['KR'],ko,들쥐,"A reclusive writer wakes to find his identity stolen — and must ally with a ruthless loan shark to reclaim his life from a man known as ""The Rat.""",51.4772,2026-08-28,False,Mousetrap,7.969,32,"Crime, Drama, Mystery"
False,"10759, 18, 35",276161,['KR'],ko,참교육,An inspector from the Educational Rights Protection Bureau (ERPB) who is authorized by the government to use physical intervention and unconventional methods to discipline delinquent students and reform the educational system.,50.1768,2026-06-05,False,Teach You a Lesson,9.406,878,"Action & Adventure, Drama, Comedy"
False,"10759, 9648, 18",93405,['KR'],ko,오징어 게임,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",49.4496,2021-09-17,False,Squid Game,7.854,17732,"Action & Adventure, Mystery, Drama"
False,"10759, 18",200709,['KR'],ko,약한영웅,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",45.9777,2022-11-18,False,Weak Hero,8.697,523,"Action & Adventure, Drama"
False,18,134864,['KR'],ko,MBC 베스트극장,No overview available,43.1681,1991-07-07,False,MBC Bests Theater,7.0,1,Drama
False,"10759, 80, 18",296206,['KR'],ko,김부장,"When an unassuming dad's daughter goes missing, he dusts off his old black-ops skills to track her down — only to attract the wrong kind of attention.",39.9222,2026-06-26,False,Agent Kim Reactivated,8.458,166,"Action & Adventure, Crime, Drama"
False,"18, 10759, 80",127529,['KR'],ko,사냥개들,"Faced with ruthless foes with a violent thirst, two young boxers band together — risking life and limb to bring justice and protect their loved ones.",39.8632,2023-06-09,False,Bloodhounds,8.509,795,"Drama, Action & Adventure, Crime"
False,"18, 10759, 9648",215072,['KR'],ko,킬러들의 쇼핑몰,A niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall faces a new truth after her uncle's sudden death.,39.3361,2024-01-17,False,A Shop for Killers,8.487,239,"Drama, Action & Adventure, Mystery"
